name,canonical,confidence,note
Athletics Complex Phase III*(Football Operations Center),Football Operations Center,confirmed,2021 name carries the 2023 name in parentheses
Athletics Complex Phase III - Football Operations Center,Football Operations Center,confirmed,2022 name carries the 2023 name
Athletics Complex Phase IV-Olympic Sports Center,Olympic Sports Center,confirmed,2022 name carries the 2023 name
Paul and Diane Manning Institute of Biotechnology,Institute of Biotechnology,confirmed,donor naming from 2024; same $350M budget and funding split
Mc Intire Academic Facility (Shumway Hall),Shumway Hall (Mc Intire),confirmed,2021-22 name carries the 2023 name
UVA Hotel & Conference Center,Virginia Guesthouse (UVA Hotel & Conference Center),confirmed,2023+ name carries the old name in parentheses; the course table keeps them apart
Parking Garage,North Grounds Parking Garage,probable,generic 2022 name; same $7.2M institutional share as 2023 North Grounds garage; no prose confirms it
Research Computing Data Center(planning/design),Research Data Center,probable,planning budget 2023-24 then a full $72M budget 2025 under a shorter name
Public Safety Building (planning/design),Public Safety Building Renovation,probable,planning budget 2023 then full budget 2024
The Park Complex Improvements(planning/design),The Park Renovation(UVA Recreation),probable,planning budget 2024 then full budget 2025
UVA Hospital Project,,not-linked,2023 $132M; 2024 has UVA Hospital South Tower Fit-Out $120M (both 100% institutional) but nothing in the plans says they are the same project
Fontaine Infrastructure & Parking Garage,Fontaine Research Park Infrastructure & Parking Garage,confirmed,2022 short name; same $87M debt-funded project. From 2023 the plan lists Fontaine Research Park Parking Garage $61M + Roadway Infrastructure $10M instead: a split and not linked to either
Fontaine Research Park Infrastructure & Parking Garage,Fontaine Research Park Infrastructure & Parking Garage,confirmed,kept apart from the 2023+ garage and roadway (see previous row)
Data Center,,not-linked,2021-22 $23M; the 2025 Research Data Center ($72M) is a different project per its planning history
School of Data Science,,not-linked,building finished; the 2025 School of Data Science and Entrepreneurship Building is a new project
Batten School Academic Building,,not-linked,removed 2022 at the sponsor's request per the 2022 resolution; Karsh (includes Batten) did not change budget
